"blazy href","media__image src","field","field 2","field 3","clearfix","field 4"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/patricia-ruiz-alvarez","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-07/MARTINA%20HANDMADE_0.jpg.webp?itok=hXa-dydv","Patricia","Ruiz Álvarez","Diseñadora","Tras unos años de formación y trabajo en el sector forestal, llegué al mundo de...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/ana-maria-basanta-rodriguez","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-07/Ana%20Maria%20Basanta%20restauradora%202%20%282%29%20%281%29.jpg.webp?itok=WzubVvVV","Maestro artesano","Ana María","Basanta Rodríguez","Empresa dedicada a la restauración de madera englobando además las disciplinas...","Restauradora, Doradora, Tapicera, Diseñadora"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/sonia-moreno-roda","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-02/1%20IMG_E5789_0.jpg.webp?itok=ygBZQIFQ","Sonia","Moreno Roda","Cerámica","Artista de nacimiento descubrí la cerámica hace cinco años y quedé enganchada a...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/juan-luis-garcia-garcia-muro","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-11/Jose%20Luis%20Garcia%20ebanista%202.jpg.webp?itok=6SxzWYBK","Maestro artesano","Juan Luis","García García-Muro","Dedicado a la elaboración de piezas, estructuras y restauración de piezas de...","Ebanista, Decorador de muebles, Dorador, Restaurador, Tallista de madera"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/gemma-gonzalez-araque","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-10/Gemma%20II_0.png.webp?itok=Zlg0aFBf","Gemma","González Araque","Sombrerera","Artesana Sombrerera. Artesana repujadora de metales. Licenciada en Bellas Artes...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/miriam-marquez","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-09/Foto%20MM%202.jpg.webp?itok=VgO4io7G","Miriam","Márquez","Diseñadora","Vengo de un pequeño pueblo de Toledo, Los Navalmorales, donde aprendí desde niña...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/miguel-angel-de-la-torre-serrano","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-03/Miguel%20angel%20de%20la%20Torre%20carpintero%202%20-%20copia.jpg.webp?itok=9FTHKTtO","Maestro artesano","Miguel Angel","de la Torre Serrano","PREMIOS OBTENIDOS Placa al Mérito Artesano 2023. OFICIO: Miguel Ángel de la...","Juguetero"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/juan-carlos-fernandez-carrasco","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-02/Juan%20Carlos%20Fern%C3%A1ndez%20Carrasco%20Cer%C3%A1mica%202.jpg.webp?itok=GzRZy_Rs","Maestro artesano","Juan Carlos","Fernández Carrasco","Entro en el taller familiar como aprendiz en junio de 1984, principalmente como...","Alfarero"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/marcial-carrasco-diaz","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-02/Marcial%20Carrasco%20Cer%C3%A1mica%20Abad%202.jpg.webp?itok=O_xnDvpG","Marcial","Carrasco Díaz","Cerámica","Cerámica Abad da a conocer sus artículos a toda España puesto que hacemos ferias...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/rocio-del-pilar-diaz-garcia","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-03/2024%20Mondema%20Artesanos-142_0.jpg.webp?itok=cyHf8vKB","Maestro artesano","Rocio del Pilar","Díaz García","PREMIOS OBTENIDOS: . 1º Premio Diseño aplicado a la Artesanía 2019. · 1º Premio...","Carpintero, Restaurador de muebles"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/jesus-medina-ramos","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-08/IMG_20240821_124526_0.jpg.webp?itok=jo9XO69-","Jesús","Medina Ramos","Taxidermista","Mi trabajo es el de Taxidermista (el oficio de disecar animales para...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/francisco-javier-castillo-diaz","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-11/Javier%20Castillo%20relojero%202%20%281%29%20%282%29.jpg.webp?itok=0_y74QG9","Maestro artesano","Francisco Javier","Castillo Díaz","Relojería Castillo. Fco. Javier Castillo Díaz, Maestro Artesano. Restauración y...","Relojero"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/jesus-polan-villalobos","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-01/Jes%C3%BAs%20Pol%C3%A1n%20taxidermia%202.jpg.webp?itok=Ur2rt5Uw","Maestro artesano","Jesús","Polán Villalobos","Todo se lo agradezco a mi padre Jesús Polan, el fue muy buen taxidermista de...","Taxidermista"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/rosa-soriano-alia","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-10/Foto%20Rosa%20Soriano%20Al%C3%ADa.jpg.webp?itok=P08kTUje","Maestro artesano","Rosa","Soriano Alía","Ceramista de segunda generación, he crecido ligada estrechamente a este oficio...","Cerámica"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/alvaro-martinez-mampaso","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-07/%C3%81lvaro%20Mart%C3%ADnez%20Mampaso.jpg.webp?itok=ml786WG7","Álvaro","Martínez Mampaso","Artesano del papel","Desde el corazón del casco antiguo de Cuenca, mantengo vivo este legado...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/maria-teresa-escorza-hernandez","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-10/P5300963%20%282%29.jpg.webp?itok=vEsdeRo1","María Teresa","Escorza Hernández","Cerámica","Taller de cerámica creativa, donde se utilizan todas las técnicas de cerámica...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/jose-bernardo-gimenez-martin","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-09/PHOTO-2024-09-22-19-43-18%20%282%29_3.jpg.webp?itok=olL4Bgs5","José Bernardo","Giménez Martín","Carpintero","Soy carpintero desde 1988, soy la 4ª generación. Soy artesano Castellano...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/pascual-alba-mansilla","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-09/Pascual%20Alba%20herrero%202.jpg.webp?itok=t1D4ZjWW","Maestro artesano","Pascual","Alba Mansilla","Alba Artemetal, es una pequeña empresa familiar que ha trabajado el hierro en...","Herrero"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/pedro-loaisa-moreno","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-06/Pedro%20Loaisa%20.foto%20blanco%20y%20negro.JPG.webp?itok=lbfcjEcq","Pedro","Loaisa Moreno","Forjado","Con 18 años entre a formar parte de la Primera Escuela taller de Talavera de la...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/felix-angel-martinez-bravo","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-07/F%C3%A9lix%20Mart%C3%ADnez%20cuchillero%202%20%282%29.jpg.webp?itok=pRKa07NY","Maestro artesano","Félix Ángel","Martínez Bravo","Cuchillería J. J. Martínez somos profesionales artesanos en la fabricación de...","Cuchillero y Navajero"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/maria-soledad-rodenas-garcia","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-03/Marisol%20R%C3%B3denas%20bordados%202.jpg.webp?itok=s6A4KFEd","Maestro artesano","María Soledad","Rodenas García","Hace más de 40 años que comencé investigando esta bella artesanía del encaje de...","Encajera"
